test_case,request_number,timestamp,latency_ms,status_code
Fake News 1,1,1762886371.191091,74.52821731567383,200
Fake News 1,2,1762886371.256934,65.84024429321289,200
Fake News 1,3,1762886371.316373,59.43727493286133,200
Fake News 1,4,1762886371.3983302,81.9549560546875,200
Fake News 1,5,1762886371.4568288,58.495283126831055,200
Fake News 1,6,1762886371.5556679,98.82402420043945,200
Fake News 1,7,1762886371.620118,64.4378662109375,200
Fake News 1,8,1762886371.678563,58.393239974975586,200
Fake News 1,9,1762886371.736664,58.09497833251953,200
Fake News 1,10,1762886371.7989929,62.31188774108887,200
Fake News 1,11,1762886371.86576,66.76197052001953,200
Fake News 1,12,1762886371.929445,63.6751651763916,200
Fake News 1,13,1762886372.019874,90.42000770568848,200
Fake News 1,14,1762886372.089911,70.03498077392578,200
Fake News 1,15,1762886372.159661,69.7488784790039,200
Fake News 1,16,1762886372.2197561,60.092926025390625,200
Fake News 1,17,1762886372.2758138,56.05506896972656,200
Fake News 1,18,1762886372.338015,62.19887733459473,200
Fake News 1,19,1762886372.409346,71.32887840270996,200
Fake News 1,20,1762886372.484724,75.37364959716797,200
Fake News 1,21,1762886372.567223,82.09800720214844,200
Fake News 1,22,1762886372.674613,107.38468170166016,200
Fake News 1,23,1762886372.783812,109.19690132141113,200
Fake News 1,24,1762886372.869977,86.16209030151367,200
Fake News 1,25,1762886373.027188,157.20605850219727,200
Fake News 1,26,1762886373.127892,100.69394111633301,200
Fake News 1,27,1762886373.2639549,136.05690002441406,200
Fake News 1,28,1762886373.342659,78.69696617126465,200
Fake News 1,29,1762886373.503619,160.95304489135742,200
Fake News 1,30,1762886373.629291,125.66494941711426,200
Fake News 1,31,1762886373.7387269,109.42721366882324,200
Fake News 1,32,1762886373.81654,77.80289649963379,200
Fake News 1,33,1762886373.915412,98.86574745178223,200
Fake News 1,34,1762886373.997698,82.27896690368652,200
Fake News 1,35,1762886374.083617,85.91103553771973,200
Fake News 1,36,1762886374.15975,76.11989974975586,200
Fake News 1,37,1762886374.23037,70.61100006103516,200
Fake News 1,38,1762886374.2978601,67.47889518737793,200
Fake News 1,39,1762886374.36875,70.87111473083496,200
Fake News 1,40,1762886374.429291,60.52994728088379,200
Fake News 1,41,1762886374.667448,238.10195922851562,200
Fake News 1,42,1762886374.770566,103.10506820678711,200
Fake News 1,43,1762886374.892888,122.31206893920898,200
Fake News 1,44,1762886375.012866,119.97103691101074,200
Fake News 1,45,1762886375.119195,106.32514953613281,200
Fake News 1,46,1762886375.216425,97.22185134887695,200
Fake News 1,47,1762886375.308992,92.559814453125,200
Fake News 1,48,1762886375.38851,79.51188087463379,200
Fake News 1,49,1762886375.4518101,63.2929801940918,200
Fake News 1,50,1762886375.521755,69.93722915649414,200
Fake News 1,51,1762886375.595346,73.58598709106445,200
Fake News 1,52,1762886375.69467,99.31397438049316,200
Fake News 1,53,1762886375.758141,63.46702575683594,200
Fake News 1,54,1762886375.8268092,68.66097450256348,200
Fake News 1,55,1762886375.939518,112.7021312713623,200
Fake News 1,56,1762886376.067293,127.76660919189453,200
Fake News 1,57,1762886376.2256389,158.3397388458252,200
Fake News 1,58,1762886376.3038578,78.2158374786377,200
Fake News 1,59,1762886376.405422,101.56011581420898,200
Fake News 1,60,1762886376.586805,181.37788772583008,200
Fake News 1,61,1762886376.780799,193.94397735595703,200
Fake News 1,62,1762886376.8549771,74.17082786560059,200
Fake News 1,63,1762886377.012979,157.99784660339355,200
Fake News 1,64,1762886377.142058,129.07695770263672,200
Fake News 1,65,1762886377.28629,144.22893524169922,200
Fake News 1,66,1762886377.442671,156.37516975402832,200
Fake News 1,67,1762886377.540549,97.87416458129883,200
Fake News 1,68,1762886377.6799722,139.4181251525879,200
Fake News 1,69,1762886377.833927,153.95021438598633,200
Fake News 1,70,1762886377.933944,100.01397132873535,200
Fake News 1,71,1762886378.004831,70.88375091552734,200
