Test Case,Average (ms),Median (ms),Min (ms),Max (ms),Std Dev (ms),Count
Fake News 1,160.03875017166138,104.71510887145996,56.05506896972656,849.2028713226318,151.64074616372227,100
Fake News 2,74.45180892944336,67.68941879272461,56.20002746582031,141.34502410888672,17.371492614438417,100
Real News 1,83.41105461120605,71.14648818969727,57.649850845336914,258.1770420074463,28.468413466429883,100
Real News 2,77.38523483276367,68.49968433380127,54.126739501953125,274.7800350189209,31.931310230998918,100
